Dim,Noise Std,Problem ID,Problem Name,Function Class,Comparison Tier,Solver 1,Solver 2,Solver 1 Med Res,Solver 2 Med Res,Mann-Whitney p-val,A12 Effect Size,Effect Magnitude,Outcome
2,0.0,1,Sphere (f1),Separable,Tier 1: Classical Baselines,CMAES,DE,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,1,Sphere (f1),Separable,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,1,Sphere (f1),Separable,Tier 1: Classical Baselines,DE,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,1,Sphere (f1),Separable,Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),CMAES,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,1,Sphere (f1),Separable,Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),DE,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,1,Sphere (f1),Separable,Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,CMAES,DE,0.0,8.21981e-05,1.0,0.0,Large,CMAES Ahead (Non-Sig)
2,0.0,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,DE,PSO,8.21981e-05,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
2,0.0,11,Discus (f11),High Conditioning,Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),CMAES,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,11,Discus (f11),High Conditioning,Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),DE,0.0,8.21981e-05,1.0,0.0,Large,LLaMEA Ahead (Non-Sig)
2,0.0,11,Discus (f11),High Conditioning,Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,CMAES,DE,0.9949590571,3.46e-08,1.0,1.0,Large,DE Ahead (Non-Sig)
2,0.0,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,CMAES,PSO,0.9949590571,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
2,0.0,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,DE,PSO,3.46e-08,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
2,0.0,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),CMAES,0.0007152539,0.9949590571,1.0,0.0,Large,LLaMEA Ahead (Non-Sig)
2,0.0,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),DE,0.0007152539,3.46e-08,1.0,1.0,Large,DE Ahead (Non-Sig)
2,0.0,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),PSO,0.0007152539,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
2,0.0,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,CMAES,DE,0.0,1.2e-09,1.0,0.0,Large,CMAES Ahead (Non-Sig)
2,0.0,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,DE,PSO,1.2e-09,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
2,0.0,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),CMAES,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),DE,0.0,1.2e-09,1.0,0.0,Large,LLaMEA Ahead (Non-Sig)
2,0.0,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,CMAES,DE,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,DE,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,8,Rosenbrock (f8),Low Conditioning,Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),CMAES,119.4828131389,0.0,1.0,1.0,Large,CMAES Ahead (Non-Sig)
2,0.0,8,Rosenbrock (f8),Low Conditioning,Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),DE,119.4828131389,0.0,1.0,1.0,Large,DE Ahead (Non-Sig)
2,0.0,8,Rosenbrock (f8),Low Conditioning,Tier 2: LLaMEA vs Baselines,LLaMEA (Baseline),PSO,119.4828131389,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
