Dim,Noise Std,Problem ID,Problem Name,Function Class,Comparison Tier,Solver 1,Solver 2,Solver 1 Med Res,Solver 2 Med Res,Mann-Whitney p-val,A12 Effect Size,Effect Magnitude,Outcome
2,0.0,1,Sphere (f1),Separable,Tier 1: Classical Baselines,CMAES,DE,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,1,Sphere (f1),Separable,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,1,Sphere (f1),Separable,Tier 1: Classical Baselines,DE,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,CMAES,DE,0.0,8.21981e-05,1.0,0.0,Large,CMAES Ahead (Non-Sig)
2,0.0,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,DE,PSO,8.21981e-05,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
2,0.0,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,CMAES,DE,0.9949590571,3.46e-08,1.0,1.0,Large,DE Ahead (Non-Sig)
2,0.0,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,CMAES,PSO,0.9949590571,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
2,0.0,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,DE,PSO,3.46e-08,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
2,0.0,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,CMAES,DE,0.0,1.2e-09,1.0,0.0,Large,CMAES Ahead (Non-Sig)
2,0.0,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,DE,PSO,1.2e-09,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
2,0.0,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,CMAES,DE,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.0,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,DE,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.05,1,Sphere (f1),Separable,Tier 1: Classical Baselines,CMAES,DE,0.0,0.0007163392,1.0,0.0,Large,CMAES Ahead (Non-Sig)
2,0.05,1,Sphere (f1),Separable,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.05,1,Sphere (f1),Separable,Tier 1: Classical Baselines,DE,PSO,0.0007163392,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
2,0.05,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,CMAES,DE,0.0,3.02256e-05,1.0,0.0,Large,CMAES Ahead (Non-Sig)
2,0.05,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.05,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,DE,PSO,3.02256e-05,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
2,0.05,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,CMAES,DE,0.0,0.0533933007,1.0,0.0,Large,CMAES Ahead (Non-Sig)
2,0.05,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.05,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,DE,PSO,0.0533933007,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
2,0.05,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,CMAES,DE,0.0,1e-10,1.0,0.0,Large,CMAES Ahead (Non-Sig)
2,0.05,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.05,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,DE,PSO,1e-10,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
2,0.05,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,CMAES,DE,0.0,0.0001062182,1.0,0.0,Large,CMAES Ahead (Non-Sig)
2,0.05,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
2,0.05,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,DE,PSO,0.0001062182,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
3,0.0,1,Sphere (f1),Separable,Tier 1: Classical Baselines,CMAES,DE,0.0,0.0,,0.5,Negligible,Exact Tie
3,0.0,1,Sphere (f1),Separable,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
3,0.0,1,Sphere (f1),Separable,Tier 1: Classical Baselines,DE,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
3,0.0,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,CMAES,DE,0.0,1.5544e-06,1.0,0.0,Large,CMAES Ahead (Non-Sig)
3,0.0,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
3,0.0,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,DE,PSO,1.5544e-06,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
3,0.0,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,CMAES,DE,0.9949590571,9.999e-07,1.0,1.0,Large,DE Ahead (Non-Sig)
3,0.0,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,CMAES,PSO,0.9949590571,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
3,0.0,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,DE,PSO,9.999e-07,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
3,0.0,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,CMAES,DE,0.0,1.17e-08,1.0,0.0,Large,CMAES Ahead (Non-Sig)
3,0.0,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
3,0.0,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,DE,PSO,1.17e-08,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
3,0.0,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,CMAES,DE,0.0,0.0,,0.5,Negligible,Exact Tie
3,0.0,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
3,0.0,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,DE,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
3,0.05,1,Sphere (f1),Separable,Tier 1: Classical Baselines,CMAES,DE,0.0,0.0053816565,1.0,0.0,Large,CMAES Ahead (Non-Sig)
3,0.05,1,Sphere (f1),Separable,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
3,0.05,1,Sphere (f1),Separable,Tier 1: Classical Baselines,DE,PSO,0.0053816565,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
3,0.05,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,CMAES,DE,0.0,0.0006094144,1.0,0.0,Large,CMAES Ahead (Non-Sig)
3,0.05,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
3,0.05,11,Discus (f11),High Conditioning,Tier 1: Classical Baselines,DE,PSO,0.0006094144,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
3,0.05,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,CMAES,DE,0.0,2.2998248638,1.0,0.0,Large,CMAES Ahead (Non-Sig)
3,0.05,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,CMAES,PSO,0.0,0.9949597517,1.0,0.0,Large,CMAES Ahead (Non-Sig)
3,0.05,15,Rastrigin (f15),Multi-Modal (Global Structure),Tier 1: Classical Baselines,DE,PSO,2.2998248638,0.9949597517,1.0,1.0,Large,PSO Ahead (Non-Sig)
3,0.05,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,CMAES,DE,0.0,2.1581e-06,1.0,0.0,Large,CMAES Ahead (Non-Sig)
3,0.05,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
3,0.05,21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Structure),Tier 1: Classical Baselines,DE,PSO,2.1581e-06,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
3,0.05,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,CMAES,DE,0.0,0.0131017048,1.0,0.0,Large,CMAES Ahead (Non-Sig)
3,0.05,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,CMAES,PSO,0.0,0.0,,0.5,Negligible,Exact Tie
3,0.05,8,Rosenbrock (f8),Low Conditioning,Tier 1: Classical Baselines,DE,PSO,0.0131017048,0.0,1.0,1.0,Large,PSO Ahead (Non-Sig)
