Dim,Noise Std,Problem ID,Problem Name,Function Class,H-Statistic,p-value,Significant Difference
2,0.0,f1,Sphere (f1),Separable,48.20462370880467,8.55485555725894e-10,Yes
2,0.0,f11,Discus (f11),High Conditioning,35.24760330578512,4.131887893004809e-07,Yes
2,0.0,f15,Rastrigin (f15),Multi-Modal (Global Struct),27.268265910558387,1.7544390627795173e-05,Yes
2,0.0,f21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Struct),9.734568642160543,0.04514424680615411,Yes
2,0.0,f8,Rosenbrock (f8),Low Conditioning,41.57632774472686,2.0419061366461302e-08,Yes
2,0.05,f1,Sphere (f1),Separable,37.765240847784185,1.2527250665362745e-07,Yes
2,0.05,f11,Discus (f11),High Conditioning,16.009858117727912,0.0030059640166293093,Yes
2,0.05,f15,Rastrigin (f15),Multi-Modal (Global Struct),41.649690549205424,1.9716770631399356e-08,Yes
2,0.05,f21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Struct),10.626646866936067,0.031096462804101496,Yes
2,0.05,f8,Rosenbrock (f8),Low Conditioning,45.53849357011631,3.072254463818755e-09,Yes
3,0.0,f1,Sphere (f1),Separable,35.32709715002687,1.2945924857032142e-06,Yes
3,0.0,f11,Discus (f11),High Conditioning,57.3304948515445,4.322749187324589e-11,Yes
3,0.0,f15,Rastrigin (f15),Multi-Modal (Global Struct),40.423766801026744,1.2265344408405283e-07,Yes
3,0.0,f21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Struct),23.843920874033277,0.00023263053150795288,Yes
3,0.0,f8,Rosenbrock (f8),Low Conditioning,57.86349667774084,3.35616341459958e-11,Yes
3,0.05,f1,Sphere (f1),Separable,38.39743938644234,9.277390133279386e-08,Yes
3,0.05,f11,Discus (f11),High Conditioning,41.81090665774504,6.432852760601291e-08,Yes
3,0.05,f15,Rastrigin (f15),Multi-Modal (Global Struct),9.16906490869092,0.1025077857562672,No
3,0.05,f21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Struct),12.462149950086658,0.02897564288467595,Yes
3,0.05,f8,Rosenbrock (f8),Low Conditioning,20.21810084541064,0.0011372542021716922,Yes
