Dim,Noise Std,Problem ID,Problem Name,Function Class,Baseline,LLaMEA Mean Res,LLaMEA Med Res,Baseline Mean Res,Baseline Med Res,Mann-Whitney p-val,Significant (α=0.05),A12 Effect Size,Effect Magnitude,Outcome
2,0.0,f1,Sphere (f1),Separable,CMAES,0.0,0.0,0.0,0.0,1.0,No,0.5,Negligible,Exact Tie
2,0.0,f1,Sphere (f1),Separable,DE,0.0,0.0,0.0,0.0,1.0,No,0.5,Negligible,Exact Tie
2,0.0,f1,Sphere (f1),Separable,LLaMEA (qwen2.5-coder-7b-q4_k_m),0.0,0.0,12.614833238460001,1.55292159665,6.386444750436982e-05,Yes,0.0,Large,LLaMEA Wins (Sig)
2,0.0,f1,Sphere (f1),Separable,PSO,0.0,0.0,0.0,0.0,1.0,No,0.5,Negligible,Exact Tie
2,0.0,f11,Discus (f11),High Conditioning,CMAES,0.0,0.0,0.0,0.0,1.0,No,0.5,Negligible,Exact Tie
2,0.0,f11,Discus (f11),High Conditioning,DE,0.0,0.0,0.00248101026,0.0011265023,6.386444750436982e-05,Yes,0.0,Large,LLaMEA Wins (Sig)
2,0.0,f11,Discus (f11),High Conditioning,LLaMEA (qwen2.5-coder-7b-q4_k_m),0.0,0.0,1818931.4440439597,14.652126700450001,6.386444750436982e-05,Yes,0.0,Large,LLaMEA Wins (Sig)
2,0.0,f11,Discus (f11),High Conditioning,PSO,0.0,0.0,11.65456037409,0.0,0.07671597678760605,No,0.35,Medium,LLaMEA Ahead (Non-Sig)
2,0.0,f15,Rastrigin (f15),Multi-Modal (Global Struct),CMAES,0.006310924270000001,0.0052468293,2.83664676601,1.5333900932,0.025692444548908212,Yes,0.2,Large,LLaMEA Wins (Sig)
2,0.0,f15,Rastrigin (f15),Multi-Modal (Global Struct),DE,0.006310924270000001,0.0052468293,2.28840387243,0.994959089,0.1403158334701604,No,0.3,Medium,LLaMEA Ahead (Non-Sig)
2,0.0,f15,Rastrigin (f15),Multi-Modal (Global Struct),LLaMEA (qwen2.5-coder-7b-q4_k_m),0.006310924270000001,0.0052468293,56.04807072007001,1.9549232614,0.011417221487911742,Yes,0.20999999999999996,Large,LLaMEA Wins (Sig)
2,0.0,f15,Rastrigin (f15),Multi-Modal (Global Struct),PSO,0.006310924270000001,0.0052468293,0.0,0.0,6.386444750436982e-05,Yes,1.0,Large,PSO Wins (Sig)
